Sentence,Polarity,Subjectivity,Source
"""And when I first saw that, I was horrified.",0.25,0.3333333333333333,Belist.txt
I'm trying to discover beauty that hasn't been discovered yet.,0.0,0.0,Belist.txt
"There are these birds that are called starlings, and they fly in what's called a ""murmuration,"" which is generally just a big cloud of birds.",0.2833333333333334,0.5,Belist.txt
It is what I was put here to do.,0.0,0.0,Belist.txt
"There is some medical news that nobody, absolutely nobody, is prepared to hear.",0.1,0.45,Belist.txt
"I held hands with people in wheelchairs, praying to be cured.",0.0,0.0,Belist.txt
I earned my reputation as destroyer of family vacations for always insisting on being dropped off at the fanciest megachurch in town.,0.0,0.0,Belist.txt
"It was a mindset that served me well until it didn't, until I was confronted with something I couldn't manage my way out of; until I found myself saying into the phone, ""But I have a son,"" because it was all I could think of to say.",0.0,0.0,Belist.txt
"I had to face the fact that my life is built with paper walls, and so is everyone else's.",0.0,0.0,Belist.txt
"I am asked all the time to say that I would never go back, or that I've gained so much in perspective.",0.1,0.1,Belist.txt
We want to live in a world in which nothing is lost.,0.13636363636363635,0.5,Belist.txt
"People were interviewed about their brushes with death in all kinds of circumstances: car accidents, labor and delivery, suicides.",0.0,0.0,Belist.txt
"I was entering a world of people just like me, people stumbling around in the debris of dreams they thought they were entitled to and plans they didn't realize they had made.",0.0,0.0,Belist.txt
"So I began to ask friends, theologians, historians, nuns I liked, ""What I am I going to do when that loving feeling is gone?""",0.6,0.875,Belist.txt
"I see that the world is jolted by events that are wonderful and terrible, gorgeous and tragic.",-0.012500000000000011,0.9125,Belist.txt
"But I am learning to live and to love without counting the cost, without reasons and assurances that nothing will be lost.",0.3181818181818182,0.55,Belist.txt
"The song I just performed was called ""my mama,"" and the next song I'm going to perform is another original song of mine called ""BLACK BANANA.""",0.06944444444444445,0.39444444444444443,Belist.txt
Because I think commitment will always be rewarded.,0.0,0.0,Belist.txt
James served 12 years in the San Quentin State Prison and is being released in 18 months.,0.0,0.0,Belist.txt
"Now James, like you and me, is more than the worst thing he's done.",-0.25,0.75,Belist.txt
This piece is inspired by all of the hard work that men and women are doing on the inside to create better lives and futures for themselves after they serve their time.,0.10416666666666666,0.5208333333333333,Belist.txt
"This piece is entitled, ""Where I Live.",0.13636363636363635,0.5,Belist.txt
"""I live in a world that has been called ""hell on Earth"" by those trapped inside.",-0.03181818181818183,0.25,Belist.txt
My hands were made strong by the hand of the almighty.,0.4333333333333333,0.7333333333333333,Belist.txt
"And I also encountered a project called Six-Word Memoirs where people were asked, take your whole life and please sum this up into six words, such as these here: ""Found true love, married someone else.""",0.26,0.48,Belist.txt
"So if a novel can be put into six words and a whole memoir can be put into six words, you don't need more than six words for a TED Talk.",0.35,0.45,Belist.txt
We could have been done by lunch here.,0.0,0.0,Belist.txt
"Or some even included references to the speakers, such as Nathan Myhrvold's speaking style, or the one of Tim Ferriss, which might be considered a bit strenuous at times.",0.0,0.5,Belist.txt
"He's got eight talks online, and those can basically be summed up into just four words, because that's all he's basically showing us, our intuition is really bad.",-0.6999999999999998,0.6666666666666666,Belist.txt
"Sadly, it's come true.",-0.07500000000000001,0.825,Belist.txt
"This video we took undercover, which shows you, over a half an hour period, a tray of medicines of 42 vials, which are being delivered with only 2 syringes in a public hospital in India.",-0.05555555555555555,0.41111111111111115,Belist.txt
"And over the course of half an hour, not one syringe was filmed being unwrapped.",-0.16666666666666666,0.16666666666666666,Belist.txt
"And you'll see, just now, a nurse coming back to the tray, which is their sort of modular station, and dropping the syringe she's just used back in the tray for it to be picked up and used again.",0.0,0.0,Belist.txt
And they are collected en mass ?,0.0,0.0,Belist.txt
And these are used with traces of blood visible.,0.0,0.0,Belist.txt
This is made on existing equipment in 14 factories that we license.,0.0,0.0,Belist.txt
"and we doled out a billion dollars to each one of these problems I'm going to talk to you about, the vast majority could be solved, and the rest we could deal with.",0.0,1.0,Belist.txt
But it is often a combination of talk therapy and pills.,0.0,0.0,Belist.txt
"There must be millions of planets in the Milky Way, and as Carl Sagan insisted for many years, and was laughed at for it, there must be billions and billions in the universe.",0.6,0.35,Belist.txt
"The late physicist Gerard O'Neill said, ""Advanced Western civilization has had a destructive effect on all primitive civilizations it has come in contact with, even in those cases where every attempt was made to protect and guard the primitive civilization.""",-0.12499999999999999,0.44999999999999996,Belist.txt
"It may seem ridiculous, but we have a really lousy history of anticipating things like this and actually being prepared for them.",-0.27777777777777773,0.5333333333333333,Belist.txt
California is expected to lose 25 percent of its species in the next 40 years.,-0.05,0.2,Belist.txt
"you know, almost all the money that's spent on science in this country comes from the federal government, one way or another.",-0.1,0.1,Belist.txt
"There's been an experiment for the last four or five years on the Georges Bank, or the Grand Banks off of Newfoundland.",0.25,0.5333333333333333,Belist.txt
"we need the advice of particle physicists to talk about particle physics and what should be done in particle physics, but we need some outside thinking and watchdogging of what's going on with these experiments.",0.0,0.05,Belist.txt
"heard it called StarLink, especially when all those taco shells were taken out of the supermarkets about a year and a half ago.",-0.08333333333333333,0.5833333333333334,Belist.txt
"This stuff was supposed to only be feed for animals in the United States, and it got into the human food supply, and somebody should've figured out that it would get in the human food supply very easily.",0.14083333333333334,0.55,Belist.txt
"It's been 780,000 years since this happened.",0.0,0.0,Belist.txt
Scientists think now our magnetic field may be diminished by about five percent.,0.0,0.0,Belist.txt
"In studying stars like our Sun, we've found that they go through periods of diminishment, when their total amount of energy that's expelled from them goes down by maybe one percent.",-0.07777777777777779,0.5194444444444445,Belist.txt
That's happened before.,0.0,0.0,Belist.txt
"About 12,000 years ago, there was a massive wave of mammal extinctions in the Americas, and that is thought to have been a virulent disease.",0.0,1.0,Belist.txt
But I don't think to any extent that it really needs to be done.,0.2,0.2,Belist.txt
"You'll notice that a lot of comets are named after people you never heard of, amateur astronomers?",-0.25,0.25,Belist.txt
It was written by a high school teacher named Paul Barnwell.,0.16,0.5399999999999999,Belist.txt
"We've heard interviews often in which a guest is talking for several minutes and then the host comes back in and asks a question which seems like it comes out of nowhere, or it's already been answered.",0.0,0.0,Belist.txt
"Buddha said, and I'm paraphrasing, ""If your mouth is open, you're not learning.""",0.0,0.5,Belist.txt
"All of this boils down to the same basic concept, and it is this one: Be interested in other people.",-0.0061111111111111175,0.2827777777777778,Belist.txt
"I keep my mouth shut as often as I possibly can, I keep my mind open, and I'm always prepared to be amazed, and I'm never disappointed.",0.125,0.75,Belist.txt
"Go out, talk to people, listen to people, and, most importantly, be prepared to be amazed.",0.45,0.75,Belist.txt
"Brooklyn-based Chitra Ganesh is known for her digital collages, using Indian comic books called amar chitra kathas as her primary source material.",0.21666666666666667,0.3333333333333333,Belist.txt
"I, for one, was steeped in these.",0.0,0.0,Belist.txt
"She also explores themes of consumerism, and the environment, such as in this work, where these basket-like objects look organic and woven, and are woven, but with the strips of steel, salvaged from cars that she found in a Bangalore junkyard.10 artists, six minutes, I know that was a lot to take in.",0.0,0.5,Belist.txt
That represents the total equivalent carbon dioxide reduced from the atmosphere when the solution is implemented globally over a 30-year period.,0.0,0.375,Belist.txt
"The single most impactful solution, according to this analysis, would be refrigeration management, or properly managing and disposing of hydrofluorocarbons, also known as HFCs, which are used by refrigerators and air conditioners to cool the air.",0.19464285714285715,0.3660714285714286,Belist.txt
"But they were replaced by HFCs, which are hundreds to thousands of times more potent a greenhouse gas than carbon dioxide.",0.5,0.5,Belist.txt
"All that data is entered in the model, ambitiously but plausibly projected into the future, and compared against what we would have to do anyway.",0.25,0.4583333333333333,Belist.txt
"The 84 gigatons reduced from onshore wind turbines, for example, results from the electricity generated from wind farms that would otherwise be produced from coal or gas-fired plants.",0.0,0.0,Belist.txt
"The same process is used to compare recycling versus landfilling, regenerative versus industrial agriculture, protecting versus cutting down our forests.",-0.2518518518518518,0.43796296296296294,Belist.txt
The results are then integrated within and across systems to avoid double-counting and add it up to see if we actually get to drawdown.,0.0,0.1,Belist.txt
"Before, kerosene was used for cooking and lighting, kerosene on a straw island.",0.0,0.0,Belist.txt
"This is drawdown in action every year, as carbon is removed from the atmosphere through photosynthesis, which converts carbon dioxide to plants' biomass and soil organic carbon.",0.1,0.1,Belist.txt
"They have been practiced for centuries, for generations.",0.0,0.0,Belist.txt
"It's a healthy diet in terms of how much we consume, and particularly how much meat is consumed.",0.26666666666666666,0.3083333333333333,Belist.txt
"In low-income countries, after food leaves the farm, most food is wasted early in the supply chain due to infrastructure and storage challenges.",0.06875,0.29375,Belist.txt
"In the developed world, instead, after food leaves the farm, most food is wasted at the end of the supply chain by markets and consumers, and wasted food ends up in the landfill where it emits methane as it decomposes.",0.04999999999999999,0.2,Belist.txt
"All the energy and emissions that are used to produce that higher demand is reduced by providing the basic human right to choose when, how and if to raise a family.",0.13392857142857142,0.3151785714285714,Belist.txt
But family planning cannot happen without equal quality of education to girls currently being denied access.,0.0,0.325,Belist.txt
"We would want to implement these solutions whether or not global warming was even a problem, because they have cascading benefits to human and planetary well-being.",0.0,0.05,Belist.txt
"These words were meant to make us feel unsafe, insecure in our own neighborhoods, in our own skin.",0.2333333333333333,0.9583333333333334,Belist.txt
"And when I was bullied for being Muslim, I always felt like I had an army of unapologetic North African aunties who had my back.",0.0,0.0,Belist.txt
"But I did know young women who were connected to those communities, and it was quite remarkable how they already had these layers of trust and awareness and relationship with their communities.",0.425,0.575,Belist.txt
"And it's really about the friendship, and it's been so, so fun.",0.25,0.2,Belist.txt
"Truth be told, I have never found a role model I could truly identify with.",0.0,0.0,Belist.txt
"As I have progressed in my career, I have received many words of encouragement, but I have also often been met by women, men and couples who have clearly had an issue with my husband and I having chosen the path of a dual-career couple.",0.3,0.44166666666666665,Belist.txt
"You can either decide to internalize these negative messages that are being thrown at you, to let them make you feel like a failure, like success is way too hard to ever achieve, or you can choose to see that others' negativity is their own issue, and instead transform it into your own personal fuel.",0.08452380952380951,0.5059523809523809,Belist.txt
Some women in the Middle East are lucky enough to be married to someone supportive of their career.,0.21666666666666665,0.5166666666666667,Belist.txt
"For now, it means that the professional Arab woman has to somehow maintain the perfect home, make sure that her children's every need is being taken care of and manage her demanding career.",0.5333333333333333,0.662962962962963,Belist.txt
This is sacred time.,0.0,0.0,Belist.txt
"In the West, it seems like ambitious women often compare themselves to other women hoping to be noticed as the most successful woman in the room.",0.34375,0.64375,Belist.txt
It was the head of marketing who initially suggested I be considered as a young global leader to the World Economic Forum.,0.07500000000000001,0.15000000000000002,Belist.txt
"She was familiar with my media engagements and my publications, and when she was asked to voice her opinion, she highlighted my name.",0.375,0.5,Belist.txt
And indeed we started to be surprised right away.,0.19285714285714284,0.7178571428571429,Belist.txt
"The tidal energy is generated by Saturn, pulling and squeezing this moon ?",0.0,0.0,Belist.txt
Hydrothermal vents deep in our ocean were discovered in 1977.,0.0,0.4,Belist.txt
"Our entire civilization, everything that we value, is based on our intelligence.",0.0,0.625,Belist.txt
"This was said by Norbert Wiener in 1960, shortly after he watched one of the very early learning systems learn to play checkers better than its creator.",0.21,0.39666666666666667,Belist.txt
But this could equally have been said by King Midas.,0.0,0.25,Belist.txt
"I will do anything to defend myself against interference with this objective that I have been given.""",0.0,0.1,Belist.txt
"And then when the machine is switched off, that third principle comes into play.",0.0,0.0,Belist.txt
You are provably better off with a machine that's designed in this way than without it.,0.5,0.5,Belist.txt
"I arranged for his plane to be delayed.""",0.0,0.0,Belist.txt
"It'll only become more certain as it becomes more correct, so the evidence is there and it's going to be designed to interpret it correctly.",0.3035714285714286,0.6428571428571428,Belist.txt
"The more rational the person, the more willing you are to be switched off.",0.4166666666666667,0.5833333333333334,Belist.txt
"If the person is completely random or even malicious, then you're less willing to be switched off.",-0.13888888888888887,0.4388888888888889,Belist.txt
"There are two groups of Americans who are not immigrants: Native Americans, who were indigenous to this land and who were killed in acts of genocide; and African Americans, who were kidnapped, shipped and enslaved to build this country.",-0.1,0.0,Belist.txt
"There's no question about Ellis Island, about the United States as an immigrant nation and the countless anti-immigrant laws that were passed.",0.0,0.5,Belist.txt
"In 1996, a year before I found out I was in the country illegally, my eighth-grade class was assigned to read ""The Bluest Eye,"" Morrison's first book.",-0.125,0.41666666666666663,Belist.txt
They're asking the questions that need to be asked.,0.0,0.0,Belist.txt
"I shouldn't say ""man,"" because women were involved ?",0.0,0.0,Belist.txt
"So we need to return to this era of bipartisanship, mutual problem-solving that's based on understanding and awareness about the challenges we face and the real nuclear dangers.",0.2,0.30000000000000004,Belist.txt
"If you've ever lived through a natural disaster, been bullied or been made redundant, stand on up.",-0.05,0.30000000000000004,Belist.txt
