Register,PassiveType,Aux,PP,Sentiment
Written,BE-pp,'s,hurt,-0.5267
Written,BE-pp,'s,stabilized,0.0
Written,BE-pp,been,abandoned,-0.4588
Written,BE-pp,been,abandoned,-0.4588
Written,BE-pp,been,abandoned,-0.4588
Written,BE-pp,been,abandoned,-0.4588
Written,BE-pp,were,abducted,-0.5106
Written,BE-pp,was,abducted,-0.5106
Written,BE-pp,was,abducted,-0.5106
Written,BE-pp,was,abolished,0.0
Written,BE-pp,been,abolished,0.0
Written,BE-pp,is,abolished,0.0
Written,BE-pp,is,abolished,0.0
Written,BE-pp,is,abolished,0.0
Written,BE-pp,been,abolished,0.0
Written,BE-pp,were,abolished,0.0
Written,BE-pp,was,cancelled,-0.25
Written,BE-pp,been,absorbed,0.0
Written,BE-pp,is,absorbed,0.0
Written,BE-pp,be,absorbed,0.0
Written,BE-pp,was,absorbed,0.0
Written,BE-pp,been,absorbed,0.0
Written,BE-pp,being,abused,-0.5106
Written,BE-pp,were,abused,-0.5106
Written,BE-pp,are,abused,-0.5106
Written,BE-pp,being,abused,-0.5106
Written,BE-pp,are,abused,-0.5106
Written,BE-pp,being,abused,-0.5106
Written,BE-pp,are,abused,-0.5106
Written,BE-pp,being,abused,-0.5106
Written,BE-pp,were,abused,-0.5106
Written,BE-pp,were,abused,-0.5106
Written,BE-pp,was,abused,-0.5106
Written,BE-pp,were,abused,-0.5106
Written,BE-pp,be,accelerated,0.0
Written,BE-pp,be,accelerated,0.0
Written,BE-pp,be,accepted,0.2732
Written,BE-pp,was,accepted,0.2732
Written,BE-pp,be,accepted,0.2732
Written,BE-pp,be,accepted,0.2732
Written,BE-pp,were,accepted,0.2732
Written,BE-pp,be,accepted,0.2732
Written,BE-pp,were,accepted,0.2732
Written,BE-pp,be,accepted,0.2732
Written,BE-pp,is,accepted,0.2732
Written,BE-pp,be,accepted,0.2732
Written,BE-pp,be,accepted,0.2732
Written,BE-pp,be,accepted,0.2732
Written,BE-pp,was,accepted,0.2732
Written,BE-pp,was,accepted,0.2732
Written,BE-pp,be,accessed,0.0
Written,BE-pp,be,accessed,0.0
Written,BE-pp,be,accessed,0.0
Written,BE-pp,be,accessed,0.0
Written,BE-pp,was,accessed,0.0
Written,BE-pp,be,accessed,0.0
Written,BE-pp,be,accessed,0.0
Written,BE-pp,be,accessed,0.0
Written,BE-pp,are,accessed,0.0
Written,BE-pp,be,accessed,0.0
Written,BE-pp,be,accessed,0.0
Written,BE-pp,be,accessed,0.0
Written,BE-pp,be,accessed,0.0
Written,BE-pp,be,accessed,0.0
Written,BE-pp,be,accessed,0.0
Written,BE-pp,were,accessed,0.0
Written,BE-pp,be,accessed,0.0
Written,BE-pp,'s,acclaimed,0.0
Written,BE-pp,be,accompanied,0.0
Written,BE-pp,was,accompanied,0.0
Written,BE-pp,is,accompanied,0.0
Written,BE-pp,was,accompanied,0.0
Written,BE-pp,been,accompanied,0.0
Written,BE-pp,are,accompanied,0.0
Written,BE-pp,was,accompanied,0.0
Written,BE-pp,was,accompanied,0.0
Written,BE-pp,was,accompanied,0.0
Written,BE-pp,been,accomplished,0.4404
Written,BE-pp,be,accorded,0.0
Written,BE-pp,was,accorded,0.0
Written,BE-pp,was,accorded,0.0
Written,BE-pp,be,accorded,0.0
Written,BE-pp,be,accorded,0.0
Written,BE-pp,being,accosted,0.0
Written,BE-pp,were,accounted,0.0
Written,BE-pp,was,accounted,0.0
Written,BE-pp,is,accounted,0.0
Written,BE-pp,be,accounted,0.0
Written,BE-pp,is,accredited,0.0
Written,BE-pp,be,accrued,0.0
Written,BE-pp,be,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,were,accused,-0.296
Written,BE-pp,are,accused,-0.296
Written,BE-pp,are,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,been,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,was,accused,-0.296
Written,BE-pp,were,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,been,accused,-0.296
Written,BE-pp,are,accused,-0.296
Written,BE-pp,are,accused,-0.296
Written,BE-pp,are,accused,-0.296
Written,BE-pp,are,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,been,accused,-0.296
Written,BE-pp,been,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,been,accused,-0.296
Written,BE-pp,been,accused,-0.296
Written,BE-pp,been,accused,-0.296
Written,BE-pp,been,accused,-0.296
Written,BE-pp,was,accused,-0.296
Written,BE-pp,was,accused,-0.296
Written,BE-pp,were,accused,-0.296
Written,BE-pp,been,accused,-0.296
Written,BE-pp,was,accused,-0.296
Written,BE-pp,was,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,been,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,was,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,be,accused,-0.296
Written,BE-pp,being,accused,-0.296
Written,BE-pp,being,accused,-0.296
Written,BE-pp,is,accused,-0.296
Written,BE-pp,is,accustomed,0.0
Written,BE-pp,are,accustomed,0.0
Written,BE-pp,been,accustomed,0.0
Written,BE-pp,be,achieved,0.0
Written,BE-pp,be,achieved,0.0
Written,BE-pp,was,achieved,0.0
Written,BE-pp,be,achieved,0.0
Written,BE-pp,was,achieved,0.0
Written,BE-pp,was,achieved,0.0
Written,BE-pp,be,achieved,0.0
Written,BE-pp,was,achieved,0.0
Written,BE-pp,be,achieved,0.0
Written,BE-pp,be,achieved,0.0
Written,BE-pp,been,achieved,0.0
Written,BE-pp,was,achieved,0.0
Written,BE-pp,be,achieved,0.0
Written,BE-pp,be,achieved,0.0
Written,BE-pp,was,achieved,0.0
Written,BE-pp,being,achieved,0.0
Written,BE-pp,be,achieved,0.0
Written,BE-pp,was,achieved,0.0
Written,BE-pp,be,achieved,0.0
Written,BE-pp,is,acknowledged,0.0
Written,BE-pp,be,acknowledged,0.0
Written,BE-pp,been,acknowledged,0.0
Written,BE-pp,been,acknowledged,0.0
Written,BE-pp,been,acknowledged,0.0
Written,BE-pp,is,acquired,0.0
Written,BE-pp,was,acquired,0.0
Written,BE-pp,was,acquired,0.0
Written,BE-pp,been,acquired,0.0
Written,BE-pp,were,acquired,0.0
Written,BE-pp,been,acquired,0.0
Written,BE-pp,is,acquired,0.0
Written,BE-pp,be,acquitted,0.25
Written,BE-pp,be,acquitted,0.25
Written,BE-pp,was,acquitted,0.25
Written,BE-pp,was,acquitted,0.25
Written,BE-pp,are,acted,0.0
Written,BE-pp,be,acted,0.0
Written,BE-pp,been,activated,0.0
Written,BE-pp,is,received,0.0
Written,BE-pp,was,adamant,0.0
Written,BE-pp,was,adapted,0.0
Written,BE-pp,be,adapted,0.0
Written,BE-pp,been,adapted,0.0
Written,BE-pp,was,adapted,0.0
Written,BE-pp,being,added,0.0
Written,BE-pp,be,added,0.0
Written,BE-pp,been,added,0.0
Written,BE-pp,be,added,0.0
Written,BE-pp,were,added,0.0
Written,BE-pp,be,added,0.0
Written,BE-pp,were,added,0.0
Written,BE-pp,been,added,0.0
Written,BE-pp,being,added,0.0
Written,BE-pp,are,added,0.0
Written,BE-pp,was,added,0.0
Written,BE-pp,are,added,0.0
Written,BE-pp,are,added,0.0
Written,BE-pp,be,added,0.0
Written,BE-pp,been,added,0.0
Written,BE-pp,is,added,0.0
Written,BE-pp,were,added,0.0
Written,BE-pp,be,added,0.0
Written,BE-pp,be,added,0.0
Written,BE-pp,be,added,0.0
Written,BE-pp,been,added,0.0
Written,BE-pp,been,added,0.0
Written,BE-pp,are,added,0.0
Written,BE-pp,was,added,0.0
Written,BE-pp,is,added,0.0
Written,BE-pp,been,added,0.0
Written,BE-pp,been,added,0.0
Written,BE-pp,been,added,0.0
Written,BE-pp,be,added,0.0
Written,BE-pp,be,added,0.0
Written,BE-pp,is,added,0.0
Written,BE-pp,are,added,0.0
Written,BE-pp,being,added,0.0
Written,BE-pp,be,added,0.0
Written,BE-pp,are,addicted,0.0
Written,BE-pp,was,addicted,0.0
Written,BE-pp,was,addicted,0.0
Written,BE-pp,am,addicted,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,being,addressed,0.0
Written,BE-pp,being,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,be,addressed,0.0
Written,BE-pp,is,adduced,0.0
Written,BE-pp,were,adjourned,0.0
Written,BE-pp,was,adjourned,0.0
Written,BE-pp,been,adjourned,0.0
Written,BE-pp,was,adjourned,0.0
Written,BE-pp,was,adjourned,0.0
Written,BE-pp,be,adjourned,0.0
Written,BE-pp,been,adjourned,0.0
Written,BE-pp,are,adjudged,0.0
Written,BE-pp,was,adjudged,0.0
Written,BE-pp,be,adjusted,0.0
Written,BE-pp,were,adjusted,0.0
Written,BE-pp,been,adjusted,0.0
Written,BE-pp,been,adjusted,0.0
Written,BE-pp,be,administered,0.0
Written,BE-pp,are,administered,0.0
Written,BE-pp,be,administered,0.0
Written,BE-pp,was,administered,0.0
Written,BE-pp,are,administered,0.0
Written,BE-pp,is,admired,0.5106
Written,BE-pp,was,admired,0.5106
Written,BE-pp,was,admired,0.5106
Written,BE-pp,was,admired,0.5106
Written,BE-pp,being,admited,0.0
Written,BE-pp,was,admitted,0.1027
Written,BE-pp,was,admitted,0.1027
Written,BE-pp,was,admitted,0.1027
Written,BE-pp,was,admitted,0.1027
Written,BE-pp,is,admitted,0.1027
Written,BE-pp,been,admitted,0.1027
Written,BE-pp,been,admitted,0.1027
Written,BE-pp,was,admitted,0.1027
Written,BE-pp,been,admitted,0.1027
Written,BE-pp,was,adopted,0.0
Written,BE-pp,were,adopted,0.0
Written,BE-pp,be,adopted,0.0
Written,BE-pp,been,adopted,0.0
Written,BE-pp,be,adopted,0.0
Written,BE-pp,is,adopted,0.0
Written,BE-pp,was,adopted,0.0
Written,BE-pp,been,adopted,0.0
Written,BE-pp,was,adopted,0.0
Written,BE-pp,been,adopted,0.0
