Register,PassiveType,Aux,PP
Written,BE-pp,'s,hurt
Written,BE-pp,'s,stabilized
Written,BE-pp,been,abandoned
Written,BE-pp,been,abandoned
Written,BE-pp,been,abandoned
Written,BE-pp,been,abandoned
Written,BE-pp,were,abducted
Written,BE-pp,was,abducted
Written,BE-pp,was,abducted
Written,BE-pp,was,abolished
Written,BE-pp,been,abolished
Written,BE-pp,is,abolished
Written,BE-pp,is,abolished
Written,BE-pp,is,abolished
Written,BE-pp,been,abolished
Written,BE-pp,were,abolished
Written,BE-pp,was,cancelled
Written,BE-pp,been,absorbed
Written,BE-pp,is,absorbed
Written,BE-pp,be,absorbed
Written,BE-pp,was,absorbed
Written,BE-pp,been,absorbed
Written,BE-pp,being,abused
Written,BE-pp,were,abused
Written,BE-pp,are,abused
Written,BE-pp,being,abused
Written,BE-pp,are,abused
Written,BE-pp,being,abused
Written,BE-pp,are,abused
Written,BE-pp,being,abused
Written,BE-pp,were,abused
Written,BE-pp,were,abused
Written,BE-pp,was,abused
Written,BE-pp,were,abused
Written,BE-pp,be,accelerated
Written,BE-pp,be,accelerated
Written,BE-pp,be,accepted
Written,BE-pp,was,accepted
Written,BE-pp,be,accepted
Written,BE-pp,be,accepted
Written,BE-pp,were,accepted
Written,BE-pp,be,accepted
Written,BE-pp,were,accepted
Written,BE-pp,be,accepted
Written,BE-pp,is,accepted
Written,BE-pp,be,accepted
Written,BE-pp,be,accepted
Written,BE-pp,be,accepted
Written,BE-pp,was,accepted
Written,BE-pp,was,accepted
Written,BE-pp,be,accessed
Written,BE-pp,be,accessed
Written,BE-pp,be,accessed
Written,BE-pp,be,accessed
Written,BE-pp,was,accessed
Written,BE-pp,be,accessed
Written,BE-pp,be,accessed
Written,BE-pp,be,accessed
Written,BE-pp,are,accessed
Written,BE-pp,be,accessed
Written,BE-pp,be,accessed
Written,BE-pp,be,accessed
Written,BE-pp,be,accessed
Written,BE-pp,be,accessed
Written,BE-pp,be,accessed
Written,BE-pp,were,accessed
Written,BE-pp,be,accessed
Written,BE-pp,'s,acclaimed
Written,BE-pp,be,accompanied
Written,BE-pp,was,accompanied
Written,BE-pp,is,accompanied
Written,BE-pp,was,accompanied
Written,BE-pp,been,accompanied
Written,BE-pp,are,accompanied
Written,BE-pp,was,accompanied
Written,BE-pp,was,accompanied
Written,BE-pp,was,accompanied
Written,BE-pp,been,accomplished
Written,BE-pp,be,accorded
Written,BE-pp,was,accorded
Written,BE-pp,was,accorded
Written,BE-pp,be,accorded
Written,BE-pp,be,accorded
Written,BE-pp,being,accosted
Written,BE-pp,were,accounted
Written,BE-pp,was,accounted
Written,BE-pp,is,accounted
Written,BE-pp,be,accounted
Written,BE-pp,is,accredited
Written,BE-pp,be,accrued
Written,BE-pp,be,accused
Written,BE-pp,is,accused
Written,BE-pp,were,accused
Written,BE-pp,are,accused
Written,BE-pp,are,accused
Written,BE-pp,is,accused
Written,BE-pp,is,accused
Written,BE-pp,been,accused
Written,BE-pp,is,accused
Written,BE-pp,was,accused
Written,BE-pp,were,accused
Written,BE-pp,is,accused
Written,BE-pp,is,accused
Written,BE-pp,been,accused
Written,BE-pp,are,accused
Written,BE-pp,are,accused
Written,BE-pp,are,accused
Written,BE-pp,are,accused
Written,BE-pp,is,accused
Written,BE-pp,been,accused
Written,BE-pp,been,accused
Written,BE-pp,is,accused
Written,BE-pp,is,accused
Written,BE-pp,been,accused
Written,BE-pp,been,accused
Written,BE-pp,been,accused
Written,BE-pp,been,accused
Written,BE-pp,was,accused
Written,BE-pp,was,accused
Written,BE-pp,were,accused
Written,BE-pp,been,accused
Written,BE-pp,was,accused
Written,BE-pp,was,accused
Written,BE-pp,is,accused
Written,BE-pp,been,accused
Written,BE-pp,is,accused
Written,BE-pp,is,accused
Written,BE-pp,was,accused
Written,BE-pp,is,accused
Written,BE-pp,is,accused
Written,BE-pp,be,accused
Written,BE-pp,being,accused
Written,BE-pp,being,accused
Written,BE-pp,is,accused
Written,BE-pp,is,accustomed
Written,BE-pp,are,accustomed
Written,BE-pp,been,accustomed
Written,BE-pp,be,achieved
Written,BE-pp,be,achieved
Written,BE-pp,was,achieved
Written,BE-pp,be,achieved
Written,BE-pp,was,achieved
Written,BE-pp,was,achieved
Written,BE-pp,be,achieved
Written,BE-pp,was,achieved
Written,BE-pp,be,achieved
Written,BE-pp,be,achieved
Written,BE-pp,been,achieved
Written,BE-pp,was,achieved
Written,BE-pp,be,achieved
Written,BE-pp,be,achieved
Written,BE-pp,was,achieved
Written,BE-pp,being,achieved
Written,BE-pp,be,achieved
Written,BE-pp,was,achieved
Written,BE-pp,be,achieved
Written,BE-pp,is,acknowledged
Written,BE-pp,be,acknowledged
Written,BE-pp,been,acknowledged
Written,BE-pp,been,acknowledged
Written,BE-pp,been,acknowledged
Written,BE-pp,is,acquired
Written,BE-pp,was,acquired
Written,BE-pp,was,acquired
Written,BE-pp,been,acquired
Written,BE-pp,were,acquired
Written,BE-pp,been,acquired
Written,BE-pp,is,acquired
Written,BE-pp,be,acquitted
Written,BE-pp,be,acquitted
Written,BE-pp,was,acquitted
Written,BE-pp,was,acquitted
Written,BE-pp,are,acted
Written,BE-pp,be,acted
Written,BE-pp,been,activated
Written,BE-pp,is,received
Written,BE-pp,was,adamant
Written,BE-pp,was,adapted
Written,BE-pp,be,adapted
Written,BE-pp,been,adapted
Written,BE-pp,was,adapted
Written,BE-pp,being,added
Written,BE-pp,be,added
Written,BE-pp,been,added
Written,BE-pp,be,added
Written,BE-pp,were,added
Written,BE-pp,be,added
Written,BE-pp,were,added
Written,BE-pp,been,added
Written,BE-pp,being,added
Written,BE-pp,are,added
Written,BE-pp,was,added
Written,BE-pp,are,added
Written,BE-pp,are,added
Written,BE-pp,be,added
Written,BE-pp,been,added
Written,BE-pp,is,added
Written,BE-pp,were,added
Written,BE-pp,be,added
Written,BE-pp,be,added
Written,BE-pp,be,added
Written,BE-pp,been,added
Written,BE-pp,been,added
Written,BE-pp,are,added
Written,BE-pp,was,added
Written,BE-pp,is,added
Written,BE-pp,been,added
Written,BE-pp,been,added
Written,BE-pp,been,added
Written,BE-pp,be,added
Written,BE-pp,be,added
Written,BE-pp,is,added
Written,BE-pp,are,added
Written,BE-pp,being,added
Written,BE-pp,be,added
Written,BE-pp,are,addicted
Written,BE-pp,was,addicted
Written,BE-pp,was,addicted
Written,BE-pp,am,addicted
Written,BE-pp,be,addressed
Written,BE-pp,be,addressed
Written,BE-pp,be,addressed
Written,BE-pp,be,addressed
Written,BE-pp,be,addressed
Written,BE-pp,be,addressed
Written,BE-pp,be,addressed
Written,BE-pp,be,addressed
Written,BE-pp,be,addressed
Written,BE-pp,be,addressed
Written,BE-pp,be,addressed
Written,BE-pp,be,addressed
Written,BE-pp,being,addressed
Written,BE-pp,being,addressed
Written,BE-pp,be,addressed
Written,BE-pp,be,addressed
Written,BE-pp,be,addressed
Written,BE-pp,be,addressed
Written,BE-pp,is,adduced
Written,BE-pp,were,adjourned
Written,BE-pp,was,adjourned
Written,BE-pp,been,adjourned
Written,BE-pp,was,adjourned
Written,BE-pp,was,adjourned
Written,BE-pp,be,adjourned
Written,BE-pp,been,adjourned
Written,BE-pp,are,adjudged
Written,BE-pp,was,adjudged
Written,BE-pp,be,adjusted
Written,BE-pp,were,adjusted
Written,BE-pp,been,adjusted
Written,BE-pp,been,adjusted
Written,BE-pp,be,administered
Written,BE-pp,are,administered
Written,BE-pp,be,administered
Written,BE-pp,was,administered
Written,BE-pp,are,administered
Written,BE-pp,is,admired
Written,BE-pp,was,admired
Written,BE-pp,was,admired
Written,BE-pp,was,admired
Written,BE-pp,being,admited
Written,BE-pp,was,admitted
Written,BE-pp,was,admitted
Written,BE-pp,was,admitted
Written,BE-pp,was,admitted
Written,BE-pp,is,admitted
Written,BE-pp,been,admitted
Written,BE-pp,been,admitted
Written,BE-pp,was,admitted
Written,BE-pp,been,admitted
Written,BE-pp,was,adopted
Written,BE-pp,were,adopted
Written,BE-pp,be,adopted
Written,BE-pp,been,adopted
Written,BE-pp,be,adopted
Written,BE-pp,is,adopted
Written,BE-pp,was,adopted
Written,BE-pp,been,adopted
Written,BE-pp,was,adopted
Written,BE-pp,been,adopted
Written,BE-pp,be,adopted
Written,BE-pp,was,adopted
Written,BE-pp,be,adopted
Written,BE-pp,been,adopted
Written,BE-pp,is,adopted
Written,BE-pp,be,adopted
Written,BE-pp,been,adopted
Written,BE-pp,been,adopted
Written,BE-pp,be,adopted
Written,BE-pp,been,adopted
Written,BE-pp,is,adorned
Written,BE-pp,been,advanced
Written,BE-pp,was,advanced
Written,BE-pp,were,advertised
Written,BE-pp,were,advertised
Written,BE-pp,was,advertised
Written,BE-pp,is,advised
Written,BE-pp,been,advised
Written,BE-pp,are,advised
Written,BE-pp,are,advised
Written,BE-pp,was,advised
Written,BE-pp,is,advised
Written,BE-pp,are,advised
Written,BE-pp,was,advised
Written,BE-pp,be,advised
Written,BE-pp,was,advised
Written,BE-pp,is,advised
Written,BE-pp,was,advised
Written,BE-pp,being,advised
Written,BE-pp,being,advised
Written,BE-pp,are,advised
Written,BE-pp,are,advised
Written,BE-pp,been,advised
Written,BE-pp,were,advised
Written,BE-pp,is,affected
Written,BE-pp,be,affected
Written,BE-pp,be,affected
Written,BE-pp,been,affected
Written,BE-pp,were,affected
Written,BE-pp,be,affected
Written,BE-pp,been,affected
Written,BE-pp,been,affected
Written,BE-pp,are,affected
Written,BE-pp,be,affected
Written,BE-pp,be,affected
Written,BE-pp,be,affected
Written,BE-pp,were,affected
Written,BE-pp,are,affected
Written,BE-pp,be,affected
Written,BE-pp,been,affected
Written,BE-pp,been,affected
Written,BE-pp,were,affected
Written,BE-pp,were,affected
Written,BE-pp,was,affected
Written,BE-pp,be,affected
Written,BE-pp,be,affected
Written,BE-pp,is,affiliated
Written,BE-pp,is,affiliated
Written,BE-pp,is,affiliated
Written,BE-pp,been,affiliated
Written,BE-pp,is,affiliated
Written,BE-pp,was,affixed
Written,BE-pp,be,afforded
Written,BE-pp,be,afforded
Written,BE-pp,was,aged
Written,BE-pp,be,aged
Written,BE-pp,am,agonized
Written,BE-pp,been,agreed
Written,BE-pp,been,agreed
Written,BE-pp,been,agreed
Written,BE-pp,was,agreed
Written,BE-pp,was,agreed
Written,BE-pp,were,agreed
Written,BE-pp,was,agreed
Written,BE-pp,be,agreed
Written,BE-pp,been,agreed
Written,BE-pp,is,agreed
Written,BE-pp,be,agreed
Written,BE-pp,been,agreed
Written,BE-pp,be,aided
Written,BE-pp,is,aimed
Written,BE-pp,is,aimed
Written,BE-pp,is,aimed
Written,BE-pp,is,aimed
Written,BE-pp,are,aimed
Written,BE-pp,was,aimed
Written,BE-pp,is,aimed
Written,BE-pp,was,aimed
Written,BE-pp,is,aimed
Written,BE-pp,was,aimed
Written,BE-pp,is,aimed
Written,BE-pp,are,aimed
Written,BE-pp,is,aimed
Written,BE-pp,is,aimed
Written,BE-pp,is,aimed
Written,BE-pp,is,aimed
Written,BE-pp,is,aimed
Written,BE-pp,is,aimed
Written,BE-pp,was,aimed
Written,BE-pp,was,aimed
Written,BE-pp,is,aimed
Written,BE-pp,is,aimed
Written,BE-pp,been,aimed
Written,BE-pp,are,aimed
Written,BE-pp,is,aimed
Written,BE-pp,was,aired
Written,BE-pp,being,aired
Written,BE-pp,being,aired
Written,BE-pp,being,aired
Written,BE-pp,being,aired
Written,BE-pp,was,airlifted
Written,BE-pp,be,airlifted
Written,BE-pp,is,alarmed
Written,BE-pp,were,alerted
Written,BE-pp,were,alerted
Written,BE-pp,are,alerted
Written,BE-pp,were,alerted
Written,BE-pp,were,alerted
Written,BE-pp,be,aligned
